ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
SS;2, 0, 2;10;15;-590;-490;-390;0.78;0.61;0.39
SS;2, 0, 6;4;10;-6300;-2600;-1500;0.76;0.72;0.55
SS;6, 0, 2;6;5;-140;-130;-98;0.76;0.63;0.45
SS;7, 0, 6;8;15;-280;-700;-890;0.73;0.73;0.51
SS;4, 0, 8;8;15;-37;-31;-37;0.72;0.48;0.39
SS;3, 0, 8;6;15;-5600;-11000;-8400;0.71;0.64;0.52
SS;4, 0, 5;NA;NA;-90;-200;-190;0.71;0.42;0.36
SS;4, 0, 5;2;10;-490;-750;-600;0.7;0.41;0.25
SS;2, 0, 6;6;10;-450;-460;-720;0.67;0.46;0.3
SS;3, 1, 6;8;5;-3.3;-3.1;-3;0.67;0.36;0.29
